Category,Template Name,Sample Data Row 1,Sample Data Row 2,Sample Data Row 3
CUSTOMER,Customer Master,"ID: C001 | Name: Sean Smith | Email: sean@lariat.com | Phone: 970-555-1234 | Address: 123 Main St, Fort Collins, CO 80521 | CNIC: N/A | Age: 45 | Account: 987654 | Status: 1 (VIP) | Discount: 0.15 | Username: sean_smith | Password: [HASHED] | RegDate: 2024-01-01 10:00:00","ID: C002 | Name: Maria Garcia | Email: maria@catering.com | Phone: 720-555-5678 | Address: 456 Oak Ave, Denver, CO 80202 | CNIC: N/A | Age: 38 | Account: 987655 | Status: 2 (Regular) | Discount: 0.05 | Username: maria_garcia | Password: [HASHED] | RegDate: 2024-03-15 14:30:00","ID: C003 | Name: James Johnson | Email: james@event.com | Phone: 719-555-9999 | Address: 789 Pine Rd, Colorado Springs, CO 80901 | CNIC: N/A | Age: 52 | Account: 987656 | Status: 3 (Standard) | Discount: 0.0 | Username: james_j | Password: [HASHED] | RegDate: 2024-05-20 09:15:00"
EVENT,Catering Event (BEO),"ID: E001 | Name: Smith Family Reunion | Type: Family Gathering | Date: 2025-07-15 | Start: 5:00 PM | End: 10:00 PM | Guests: 150 | Total Cost: $8,500 | Status: Confirmed | Approved: Yes | Feedback: Excellent service! | OrderDate: 2025-06-01 11:00:00","ID: E002 | Name: Garcia Wedding Reception | Type: Wedding | Date: 2025-08-22 | Start: 6:00 PM | End: 11:00 PM | Guests: 350 | Total Cost: $45,000 | Status: Confirmed | Approved: Yes | Feedback: Pending | OrderDate: 2025-07-10 08:30:00","ID: E003 | Name: Johnson Corporate Event | Type: Corporate Catering | Date: 2025-09-10 | Start: 11:30 AM | End: 2:00 PM | Guests: 200 | Total Cost: $12,500 | Status: Pending | Approved: No | Feedback: N/A | OrderDate: 2025-08-20 13:45:00"
MENU,Menu Item - Catering,"ID: M001 | Name: Shamrock Premium Steak Package | Type: Desi/Steakhouse | Price: $45.99 | Specialty: Grass-fed Beef | Availability: 3 days | Cost: $18.50 | Rice: Biryani | Bread: Tandoori | Protein: Beef Tenderloin | Status: Active | Image: /images/steak_menu.jpg","ID: M002 | Name: Shamrock Continental Chicken | Type: Continental | Price: $38.50 | Specialty: Herb-Roasted Poultry | Availability: 2 days | Cost: $15.00 | Rice: Plain Boiled | Bread: Naan | Protein: Chicken Breast | Status: Active | Image: /images/chicken_cont.jpg","ID: M003 | Name: SYSCO Vegetarian Elegance | Type: Vegetarian | Price: $32.00 | Specialty: Plant-Based | Availability: 5 days | Cost: $11.50 | Rice: Kabuli Biryani | Bread: Lebanese | Protein: Paneer+Mushroom | Status: Active | Image: /images/veggie_menu.jpg"
MENU,Beverages & Sides,"ID: M004 | Items: Coke(1) + Miranda(0) + Sprite(1) + Water(1) + DriFruit(1) + SugarFree(0) + IceCream(1) + Cake(0) | BasePrice: $3.50","ID: M005 | Items: Coke(1) + Miranda(1) + Sprite(0) + Water(1) + DriFruit(0) + SugarFree(1) + IceCream(1) + Cake(1) | BasePrice: $4.75","ID: M006 | Items: Coke(0) + Miranda(0) + Sprite(1) + Water(1) + DriFruit(1) + SugarFree(1) + IceCream(0) + Cake(0) | BasePrice: $2.25"
VENUE,Wedding Venue,"ID: V001 | Name: Aura Grande Islamabad | Location: Islamabad | Address: Service Road E-11, Islamabad | Capacity: 2000 | Category: Indoor Banquet Hall | Rent: $30,000 | City: Islamabad | State: Capital | Pincode: 44000 | Contact: 033-319-922 | Amenities: Full AC, Parking, Dance Floor, Stage","ID: V002 | Name: F9 Park Outdoor | Location: Islamabad | Address: F9/1, Islamabad | Capacity: 20000 | Category: Outdoor | Rent: $5,000 | City: Islamabad | State: Capital | Pincode: 44000 | Contact: 090-078-601 | Amenities: Open Air, Parking, Food Court, Tent Setup","ID: V003 | Name: Lake View Riverside Park | Location: Islamabad | Address: Murree Rd, Lake View Park | Capacity: 1500 | Category: Riverside | Rent: $7,500 | City: Islamabad | State: Capital | Pincode: 44100 | Contact: 0301-1030090 | Amenities: Water View, Indoor Backup, Parking"
CATERING,Catering Vendor,"ID: CAT001 | Name: Shamrock Foods (PRIMARY) | Contact: 1-800-SHAMROCK | Specialty: Desi Cuisine | MinDays: 3 | Charges: $2,500 base | Email: catering@shamrock.com | Address: 1234 Vendor St, Denver | Notes: ~29.5% cheaper than SYSCO","ID: CAT002 | Name: SYSCO (COMPARISON) | Contact: 1-800-SYSCO-1 | Specialty: Continental & Desi | MinDays: 5 | Charges: $3,500 base | Email: orders@sysco.com | Address: 5678 Supply Ave, Denver | Notes: Higher pricing but wider selection","ID: CAT003 | Name: Local Chef Catering | Contact: 720-555-CHEF | Specialty: Farm-to-Table | MinDays: 2 | Charges: $3,200 base | Email: chef@local.com | Address: 9999 Fresh Ln, Fort Collins | Notes: Premium organic option"
DECORATION,Decoration Vendor,"ID: DEC001 | Name: Elegant Florals & Design | Address: 1111 Flower Ave, Fort Collins | Email: design@elegant.com | Type: Floral Arrangements | Charge: $2,500-$8,000 | Contact: 970-555-DECOR | Service: Full event decoration","ID: DEC002 | Name: Light & Sound Systems | Address: 2222 Tech Blvd, Denver | Email: lights@sound.com | Type: Lighting & Audio | Charge: $1,500-$4,000 | Contact: 303-555-LIGHT | Service: Stage lighting, DJ, sound systems","ID: DEC003 | Name: Wedding & Events Plus | Address: 3333 Party Ln, Boulder | Email: events@plus.com | Type: Complete Decor Package | Charge: $3,000-$10,000 | Contact: 303-555-EVENT | Service: Theme decoration, backdrops, centerpieces"
STAFF,Employee - Kitchen,"ID: E101 | Name: Diego Martinez | DOB: 1985-03-15 | Email: diego@lariat.com | Phone: 970-555-1111 | Address: 555 Chef St, Fort Collins | Salary: $50,000/year | WageType: Monthly | WageRate: $4,166.67 | Department: Kitchen | Role: Chef | Status: Active | ManagerID: E100 | Points: 850 | RegDate: 2020-06-01","ID: E102 | Name: Rosa Fernandez | DOB: 1990-07-22 | Email: rosa@lariat.com | Phone: 970-555-2222 | Address: 666 Cook Way, Fort Collins | Salary: $38,000/year | WageType: Monthly | WageRate: $3,166.67 | Department: Kitchen | Role: Sous Chef | Status: Active | ManagerID: E101 | Points: 720 | RegDate: 2021-08-15","ID: E103 | Name: Marcus Johnson | DOB: 1988-01-10 | Email: marcus@lariat.com | Phone: 970-555-3333 | Address: 777 Prep Ave, Fort Collins | Salary: $32,000/year | WageType: Monthly | WageRate: $2,666.67 | Department: Kitchen | Role: Prep Cook | Status: Active | ManagerID: E101 | Points: 580 | RegDate: 2022-03-20"
STAFF,Employee - Service,"ID: E201 | Name: Sarah Thompson | DOB: 1992-11-05 | Email: sarah@lariat.com | Phone: 970-555-4444 | Address: 888 Service St, Fort Collins | Salary: $28,000/year | WageType: Monthly | WageRate: $2,333.33 | Department: Service | Role: Event Manager | Status: Active | ManagerID: E100 | Points: 650 | RegDate: 2021-01-10","ID: E202 | Name: Ahmed Hassan | DOB: 1995-05-18 | Email: ahmed@lariat.com | Phone: 970-555-5555 | Address: 999 Wait St, Fort Collins | Salary: $22,000/year + Tips | WageType: Hourly | WageRate: $15.00/hr | Department: Service | Role: Server | Status: Active | ManagerID: E201 | Points: 420 | RegDate: 2023-06-01","ID: E203 | Name: Jennifer Lee | DOB: 1994-09-12 | Email: jennifer@lariat.com | Phone: 970-555-6666 | Address: 1010 Host Ave, Fort Collins | Salary: $24,000/year | WageType: Monthly | WageRate: $2,000.00 | Department: Service | Role: Host/Coordinator | Status: Active | ManagerID: E201 | Points: 510 | RegDate: 2022-09-15"
PHOTOGRAPHER,Photography Services,"ID: P001 | Name: Alex Martinez | Email: alex@photos.com | Address: 2000 Camera Ln, Denver | Phone: 303-555-PHOTO | Charges: $3,500 | Specialties: Weddings, Events | Experience: 12 years | Portfolio: [Available on request]","ID: P002 | Name: Jasmine Chen | Email: jasmine@memories.com | Address: 3000 Studio Ave, Boulder | Phone: 303-555-SHOOT | Charges: $2,800 | Specialties: Candid, Artistic | Experience: 8 years | Portfolio: [Instagram: @jasmine.photos]","ID: P003 | Name: Studio Pro Collective | Email: studio@pro.com | Address: 4000 Production Way, Denver | Phone: 303-555-FILM | Charges: $5,500 (Video+Photo) | Specialties: Videography, Drone, 4K | Experience: 15+ years | Portfolio: [Professional portfolio available]"
